Training Iteration,lstmNodes,denseNodes,MSE
1,1,1,11.41921501
2,1,1,11.44430286
3,1,1,11.43827114
4,1,1,11.47963371
5,1,1,11.39783597
6,1,1,11.36386863
1,1,2,11.42325452
2,1,2,11.40737651
3,1,2,11.4108633
4,1,2,11.43100244
5,1,2,11.41634918
6,1,2,11.48318224
1,1,3,11.40638404
2,1,3,11.43406934
3,1,3,11.4104496
4,1,3,11.4099637
5,1,3,11.40715729
6,1,3,11.40203914
1,1,4,11.41099616
2,1,4,11.4203212
3,1,4,11.38942576
4,1,4,11.40640322
5,1,4,11.40030774
6,1,4,11.39924798
1,1,5,11.40833117
2,1,5,11.41024099
3,1,5,11.41088166
4,1,5,11.46027005
5,1,5,11.4117347
6,1,5,11.40777258
1,1,6,11.41185612
2,1,6,11.39171962
3,1,6,11.43650416
4,1,6,11.42477275
5,1,6,11.40902708
6,1,6,11.40406044
1,1,7,11.41783567
2,1,7,11.40701757
3,1,7,11.44570039
4,1,7,11.4122842
5,1,7,11.43284588
6,1,7,11.41214437
1,1,8,11.38506508
2,1,8,11.41139279
3,1,8,11.40996988
4,1,8,11.40869278
5,1,8,11.4080992
6,1,8,11.41304389
1,1,9,11.43119262
2,1,9,11.41228368
3,1,9,11.40831108
4,1,9,11.41458616
5,1,9,11.42240281
6,1,9,11.41128314
1,2,1,11.41748983
2,2,1,11.44314371
3,2,1,11.46938691
4,2,1,11.47744322
5,2,1,11.41480476
6,2,1,11.4305657
1,2,2,11.38518166
2,2,2,11.41387899
3,2,2,11.42304119
4,2,2,11.37143873
5,2,2,11.43846813
6,2,2,11.4354449
1,2,3,11.41903353
2,2,3,11.40413028
3,2,3,11.41456977
4,2,3,11.43643847
5,2,3,11.36927208
6,2,3,11.39293738
1,2,4,11.42057594
2,2,4,11.41199806
3,2,4,11.41540046
4,2,4,11.38568917
5,2,4,11.40269803
6,2,4,11.47303319
1,2,5,11.41936772
2,2,5,11.41889782
3,2,5,11.40403722
4,2,5,11.41130594
5,2,5,11.36911488
6,2,5,11.38103947
1,2,6,11.3994039
2,2,6,11.42266852
3,2,6,11.41440054
4,2,6,11.40044018
5,2,6,11.41957828
6,2,6,11.4097704
1,2,7,11.42492873
2,2,7,11.39805702
3,2,7,11.42447015
4,2,7,11.41121992
5,2,7,11.40909016
6,2,7,11.40048531
1,2,8,11.40746504
2,2,8,11.41685113
3,2,8,11.43273137
4,2,8,11.41176276
5,2,8,11.41510311
6,2,8,11.41601168
1,2,9,11.41226536
2,2,9,11.36768098
3,2,9,11.43428074
4,2,9,11.42948793
5,2,9,11.42171873
6,2,9,11.43713667
1,3,1,11.4309725
2,3,1,11.38507923
3,3,1,11.4196006
4,3,1,11.45980356
5,3,1,11.41030908
6,3,1,11.4278833
1,3,2,11.37243799
2,3,2,11.46818365
3,3,2,11.4136915
4,3,2,11.41259395
5,3,2,11.40644064
6,3,2,11.41220125
1,3,3,11.39445684
2,3,3,11.41135805
3,3,3,11.38776854
4,3,3,11.387591
5,3,3,11.46835537
6,3,3,11.41085805
1,3,4,11.47226892
2,3,4,11.41350318
3,3,4,11.43952559
4,3,4,11.4723565
5,3,4,11.41465889
6,3,4,11.43274265
1,3,5,11.42403158
2,3,5,11.41037455
3,3,5,11.39622545
4,3,5,11.40356184
5,3,5,11.41376864
6,3,5,11.40643227
1,3,6,11.38762158
2,3,6,11.45012764
3,3,6,11.43795986
4,3,6,11.45401474
5,3,6,11.41234178
6,3,6,11.41202008
1,3,7,11.41203826
2,3,7,11.42808528
3,3,7,11.41822767
4,3,7,11.41361663
5,3,7,11.40201801
6,3,7,11.42980147
1,3,8,11.40517387
2,3,8,11.43618229
3,3,8,11.40876751
4,3,8,11.48707291
5,3,8,11.42131496
6,3,8,11.43726454
1,3,9,11.4258153
2,3,9,11.42030111
3,3,9,11.46359398
4,3,9,11.41608002
5,3,9,11.38587674
6,3,9,11.43042858
1,4,1,11.37936572
2,4,1,11.38337707
3,4,1,11.41034105
4,4,1,11.39866442
5,4,1,11.44101434
6,4,1,11.39902278
1,4,2,11.39740188
2,4,2,11.40445957
3,4,2,11.39092393
4,4,2,11.38793492
5,4,2,11.36690695
6,4,2,11.41287136
1,4,3,11.39147986
2,4,3,11.41860542
3,4,3,11.39942392
4,4,3,11.41694292
5,4,3,11.38777299
6,4,3,11.43637431
1,4,4,11.39237831
2,4,4,11.43152114
3,4,4,11.41231895
4,4,4,11.38696249
5,4,4,11.36451223
6,4,4,11.45909298
1,4,5,11.44522155
2,4,5,11.42903712
3,4,5,11.41254727
4,4,5,11.46532204
5,4,5,11.42559617
6,4,5,11.41596719
1,4,6,11.43619752
2,4,6,11.44586978
3,4,6,11.41203966
4,4,6,11.42380615
5,4,6,11.40393162
6,4,6,11.41441681
1,4,7,11.41370995
2,4,7,11.44295305
3,4,7,11.41037794
4,4,7,11.42315002
5,4,7,11.4098884
6,4,7,11.39664312
1,4,8,11.41259901
2,4,8,11.43666848
3,4,8,11.40727611
4,4,8,11.3951502
5,4,8,11.41165484
6,4,8,11.42433707
1,4,9,11.40580743
2,4,9,11.3948906
3,4,9,11.39782476
4,4,9,11.41319
5,4,9,11.35819635
6,4,9,11.41726982
1,5,1,11.46060944
2,5,1,11.45397693
3,5,1,11.43115532
4,5,1,11.3779621
5,5,1,11.44024965
6,5,1,11.40847141
1,5,2,11.45346015
2,5,2,11.42171423
3,5,2,11.40786546
4,5,2,11.4426308
5,5,2,11.42636385
6,5,2,11.45719996
1,5,3,11.4302611
2,5,3,11.43278368
3,5,3,11.40128347
4,5,3,11.40608298
5,5,3,11.44738083
6,5,3,11.4189771
1,5,4,11.44242849
2,5,4,11.41486802
3,5,4,11.43742128
4,5,4,11.39099572
5,5,4,11.4267048
6,5,4,11.43514781
1,5,5,11.40061641
2,5,5,11.4186345
