SYMBOL,DURATION,EXP. RATIO,YTD 2021,YTD as of,SEC YIELD,PRICE
DLSNX,1.24years,0.68%,0.83%,as of 10/08/2021,1.42%,9.94
FFRHX,—years,0.68%,5.02%,as of 10/08/2021,3.03%,9.50
MWLDX,1.35years,0.62%,0.36%,as of 10/08/2021,0.57%,8.89
OSTIX,2.15years,0.88%,4.69%,as of 10/08/2021,--,11.52
PRWBX,1.74years,0.40%,0.34%,as of 10/08/2021,0.60%,4.82
VBIRX,2.77years,0.07%,-0.55%,as of 10/08/2021,0.49%,10.71
VSGBX,1.69years,0.20%,-0.15%,as of 10/08/2021,0.38%,10.91
VFSTX,2.80years,0.20%,0.05%,as of 10/08/2021,0.81%,10.90
VFISX,1.94years,0.20%,-0.47%,as of 10/08/2021,0.10%,10.67
FSTFX,2.66years,0.37%,0.34%,as of 10/08/2021,0.17%,10.80
PRFSX,2.45years,0.45%,0.08%,as of 10/08/2021,-0.06%,5.70
VMLTX,2.32years,0.17%,0.34%,as of 10/08/2021,0.25%,11.19
VWSTX,1.00years,0.17%,0.19%,as of 10/08/2021,0.06%,15.90
DODIX,5.20years,0.42%,-1.05%,as of 10/08/2021,--,14.20
DLTNX,3.71years,0.75%,-0.25%,as of 10/08/2021,2.94%,10.45
FAGIX,—years,0.68%,9.53%,as of 10/08/2021,2.36%,11.31
SPHIX,—years,0.70%,3.25%,as of 10/08/2021,3.77%,8.74
FTHRX,4.09years,0.45%,-1.11%,as of 10/08/2021,0.77%,11.09
FBNDX,6.50years,0.45%,-1.65%,as of 10/08/2021,1.18%,8.34
FADMX,4.54years,0.67%,2.94%,as of 10/08/2021,1.92%,12.87
FTBFX,5.91years,0.45%,-0.72%,as of 10/08/2021,1.63%,11.06
LSBRX,4.42years,0.92%,2.47%,as of 10/08/2021,1.84%,13.57
MWTRX,6.04years,0.67%,-1.62%,as of 10/08/2021,0.86%,10.91
RPSIX,5.40years,0.62%,1.87%,as of 10/08/2021,1.84%,12.99
VFIIX,2.29years,0.21%,-0.85%,as of 10/08/2021,1.02%,10.59
VWEHX,3.63years,0.23%,2.77%,as of 10/08/2021,2.71%,5.95
VBILX,6.64years,0.07%,-2.69%,as of 10/08/2021,1.43%,12.03
VFICX,6.46years,0.20%,-1.63%,as of 10/08/2021,1.72%,10.06
VFITX,4.94years,0.20%,-2.15%,as of 10/08/2021,0.74%,11.35
VBTLX,6.84years,0.05%,-2.23%,as of 10/08/2021,1.32%,11.19
FLTMX,4.30years,0.34%,0.67%,as of 10/08/2021,0.54%,10.79
PRSMX,4.47years,0.50%,0.86%,as of 10/08/2021,0.33%,12.30
VCAIX,4.38years,0.17%,0.18%,as of 10/08/2021,0.64%,12.19
VWITX,4.27years,0.17%,0.54%,as of 10/08/2021,0.67%,14.70
PRPIX,8.83years,0.51%,-1.45%,as of 10/08/2021,1.81%,9.94
PRULX,18.72years,0.23%,-9.10%,as of 10/08/2021,1.54%,11.24
VIPSX,7.19years,0.20%,3.41%,as of 10/08/2021,-1.68%,14.48
VBLAX,15.60years,0.07%,-5.97%,as of 10/08/2021,2.54%,15.26
VWESX,15.10years,0.22%,-5.11%,as of 10/08/2021,2.43%,10.88
VUSTX,17.66years,0.20%,-8.90%,as of 10/08/2021,1.70%,12.27
FCTFX,5.45years,0.45%,0.82%,as of 10/08/2021,0.73%,13.31
FHIGX,5.76years,0.45%,1.82%,as of 10/08/2021,0.83%,13.59
FTFMX,5.99years,0.46%,1.53%,as of 10/08/2021,0.87%,13.63
FTABX,5.78years,0.25%,1.63%,as of 10/08/2021,1.00%,12.13
PRINX,5.96years,0.50%,1.94%,as of 10/08/2021,0.84%,12.44
PRFHX,5.64years,0.62%,4.78%,as of 10/08/2021,1.31%,12.60
PRTAX,5.89years,0.53%,1.71%,as of 10/08/2021,0.77%,10.42
VCITX,5.22years,0.17%,0.79%,as of 10/08/2021,1.02%,12.68
VWAHX,5.04years,0.17%,2.67%,as of 10/08/2021,1.44%,12.01
VWLTX,5.14years,0.17%,1.08%,as of 10/08/2021,1.09%,12.12
LSGLX,5.90years,0.94%,-4.98%,as of 10/08/2021,0.66%,17.17
RPIBX,7.43years,0.69%,-6.69%,as of 10/08/2021,0.75%,9.16
VTABX,8.46years,0.11%,-2.61%,as of 10/08/2021,0.39%,22.64
FCVSX,?,0.63%,7.53%,as of 10/08/2021,0.05%,42.67
VWINX,?,0.22%,5.58%,as of 10/08/2021,1.84%,29.38
