Ticker,Duration,Expense Ratio,SEC Yield,SEC Yield info,Price as of 09/30/2021,YTD as of 09/30/2021
VBIRX,2.8 years,0.07%,0.48%,30 day 9/28/2021,$10.74,-0.31%
VSGBX,1.7 years,0.20%,0.38%,30 day 9/28/2021,$10.93,0.03%
VFSTX,2.7 years,0.20%,0.80%,30 day 9/28/2021,$10.93,0.28%
VFISX,2.2 years,0.20%,0.09%,30 day 9/28/2021,$10.69,-0.28%
VMLTX,2.3 years,0.17%,0.24%,30 day 9/28/2021,$11.19,0.31%
VWSTX,0.9 years,0.17%,0.06%,30 day 9/28/2021,$15.90,0.17%
VFIIX,2.0 years,0.21%,1.02%,30 day 9/28/2021,$10.62,-0.60%
VWEHX,3.6 years,0.23%,2.70%,30 day 9/28/2021,$5.98,3.16%
VBILX,6.6 years,0.07%,1.43%,30 day 9/28/2021,$12.13,-1.93%
VFICX,6.5 years,0.20%,1.71%,30 day 9/28/2021,$10.15,-0.82%
VFITX,5.3 years,0.20%,0.74%,30 day 9/28/2021,$11.41,-1.66%
VBTLX,6.8 years,0.05%,1.32%,30 day 9/28/2021,$11.27,-1.58%
VCAIX,4.3 years,0.17%,0.63%,30 day 9/28/2021,$12.20,0.20%
VWITX,4.3 years,0.17%,0.65%,30 day 9/28/2021,$14.71,0.55%
VIPSX,7.8 years,0.20%,-1.68%,30 day 9/29/2021,$14.46,3.26%
VBLAX,16.1 years,0.07%,2.54%,30 day 9/28/2021,$15.53,-4.39%
VWESX,15.2 years,0.22%,2.42%,30 day 9/28/2021,$11.06,-3.63%
VUSTX,18.1 years,0.20%,1.70%,30 day 9/28/2021,$12.50,-7.25%
VCITX,5.3 years,0.17%,1.01%,30 day 9/28/2021,$12.70,0.88%
VWAHX,5.1 years,0.17%,1.42%,30 day 9/28/2021,$12.03,2.76%
VWLTX,5.2 years,0.17%,1.07%,30 day 9/28/2021,$12.14,1.18%
VTABX,8.5 years,0.11%,0.39%,30 day 9/28/2021,$22.78,-2.01%
VWINX,8.0 years,0.23%,1.78%,30 day 8/30/2021,$29.31,5.33%
